Elevation (ft),Longitude,Latitude,Station ID,Date & Time,Air Temperture (°F),Wind Speed (knots),Wind Direction (degrees),Wind Gust (knots),Wind Cardinal Direction (code),Pressure (mb)
28,-85.59519,30.13521,E9485,2018-10-10T07:01:00-0500,42.01,6.96,0,13.9,N,1007.11
28,-85.59519,30.13521,E9485,2018-10-10T07:15:00-0500,42.01,7.81,0,13.02,N,1007.45
28,-85.59519,30.13521,E9485,2018-10-10T07:31:00-0500,41,6.96,0,12.17,N,1007.11
28,-85.59519,30.13521,E9485,2018-10-10T07:45:00-0500,41,5.21,0,11.29,N,1007.45
28,-85.59519,30.13521,E9485,2018-10-10T08:01:00-0500,41,6.96,294,13.9,WNW,1007.45
28,-85.59519,30.13521,E9485,2018-10-10T08:16:00-0500,41,6.96,266,12.17,W,1007.78
28,-85.59519,30.13521,E9485,2018-10-10T08:31:00-0500,42.01,3.48,0,9.56,N,1008.46
28,-85.59519,30.13521,E9485,2018-10-10T08:46:00-0500,42.01,4.33,0,13.02,N,1008.46
28,-85.59519,30.13521,E9485,2018-10-10T09:01:00-0500,42.01,6.96,0,15.65,N,1008.46
28,-85.59519,30.13521,E9485,2018-10-10T09:17:00-0500,42.01,5.21,0,13.9,N,1008.46
28,-85.59519,30.13521,E9485,2018-10-10T09:32:00-0500,42.01,6.96,0,13.9,N,1008.46
28,-85.59519,30.13521,E9485,2018-10-10T09:47:00-0500,42.01,7.81,0,15.65,N,1008.8
28,-85.59519,30.13521,E9485,2018-10-10T10:00:00-0500,42.01,5.21,0,16.5,N,1009.14
28,-85.59519,30.13521,E9485,2018-10-10T10:15:00-0500,42.01,9.56,0,17.38,N,1009.48
28,-85.59519,30.13521,E9485,2018-10-10T10:30:00-0500,42.01,8.69,0,16.5,N,1009.48
28,-85.59519,30.13521,E9485,2018-10-10T10:45:00-0500,42.01,7.81,0,14.77,N,1009.81
28,-85.59519,30.13521,E9485,2018-10-10T11:00:00-0500,42.01,6.96,0,15.65,N,1009.81
28,-85.59519,30.13521,E9485,2018-10-10T11:15:00-0500,42.01,9.56,271,16.5,W,1010.15
28,-85.59519,30.13521,E9485,2018-10-10T11:30:00-0500,43,7.81,0,19.13,N,1010.49
28,-85.59519,30.13521,E9485,2018-10-10T11:45:00-0500,43,10.44,0,17.38,N,1010.49
28,-85.59519,30.13521,E9485,2018-10-10T12:00:00-0500,43,6.96,275,15.65,W,1010.49
28,-85.59519,30.13521,E9485,2018-10-10T12:16:00-0500,44.01,9.56,0,16.5,N,1010.83
28,-85.59519,30.13521,E9485,2018-10-10T12:30:00-0500,44.01,9.56,0,17.38,N,1010.83
28,-85.59519,30.13521,E9485,2018-10-10T12:45:00-0500,44.01,7.81,281,17.38,W,1010.83
28,-85.59519,30.13521,E9485,2018-10-10T13:00:00-0500,45,9.56,240,16.5,WSW,1010.83
28,-85.59519,30.13521,E9485,2018-10-10T13:16:00-0500,44.01,10.44,0,19.13,N,1010.83
28,-85.59519,30.13521,E9485,2018-10-10T13:31:00-0500,44.01,7.81,0,17.38,N,1010.83
28,-85.59519,30.13521,E9485,2018-10-10T13:46:00-0500,45,8.69,0,19.98,N,1010.83
28,-85.59519,30.13521,E9485,2018-10-10T14:15:00-0500,46,6.96,0,16.5,N,1011.17
28,-85.59519,30.13521,E9485,2018-10-10T14:31:00-0500,46,9.56,0,19.13,N,1011.51
28,-85.59519,30.13521,E9485,2018-10-10T14:45:00-0500,46,11.29,0,19.13,N,1011.51
28,-85.59519,30.13521,E9485,2018-10-10T15:01:00-0500,45,6.08,0,21.71,N,1011.84
28,-85.59519,30.13521,E9485,2018-10-10T15:16:00-0500,45,11.29,0,18.25,N,1012.18
28,-85.59519,30.13521,E9485,2018-10-10T15:31:00-0500,45,7.81,0,16.5,N,1012.52
28,-85.59519,30.13521,E9485,2018-10-10T15:46:00-0500,45,11.29,0,19.13,N,1012.86
28,-85.59519,30.13521,E9485,2018-10-10T16:01:00-0500,45,7.81,0,15.65,N,1013.2
28,-85.59519,30.13521,E9485,2018-10-10T16:16:00-0500,45,11.29,251,19.13,WSW,1013.2
28,-85.59519,30.13521,E9485,2018-10-10T16:31:00-0500,45,8.69,0,17.38,N,1013.2
28,-85.59519,30.13521,E9485,2018-10-10T16:46:00-0500,45,11.29,0,16.5,N,1013.2
28,-85.59519,30.13521,E9485,2018-10-10T17:01:00-0500,45,11.29,0,19.13,N,1013.54
28,-85.59519,30.13521,E9485,2018-10-10T17:17:00-0500,45,9.56,0,17.38,N,1013.54
28,-85.59519,30.13521,E9485,2018-10-10T17:31:00-0500,45,9.56,0,20.86,N,1013.87
28,-85.59519,30.13521,E9485,2018-10-10T17:46:00-0500,44.01,8.69,0,18.25,N,1013.87
28,-85.59519,30.13521,E9485,2018-10-10T18:03:00-0500,44.01,11.29,0,19.13,N,1014.21
28,-85.59519,30.13521,E9485,2018-10-10T18:15:00-0500,44.01,7.81,0,17.38,N,1014.21
28,-85.59519,30.13521,E9485,2018-10-10T18:30:00-0500,43,6.96,0,19.98,N,1014.21
28,-85.59519,30.13521,E9485,2018-10-10T18:45:00-0500,43,4.33,0,13.9,N,1014.55
28,-85.59519,30.13521,E9485,2018-10-10T19:00:00-0500,43,6.96,0,13.9,N,1014.89
28,-85.59519,30.13521,E9485,2018-10-10T19:15:00-0500,43,6.08,0,14.77,N,1015.23
28,-85.59519,30.13521,E9485,2018-10-10T19:30:00-0500,43,13.02,0,22.59,N,1015.23
28,-85.59519,30.13521,E9485,2018-10-10T19:45:00-0500,42.01,8.69,0,15.65,N,1015.57
28,-85.59519,30.13521,E9485,2018-10-10T20:00:00-0500,42.01,9.56,0,16.5,N,1016.24
28,-85.59519,30.13521,E9485,2018-10-10T20:15:00-0500,41,8.69,0,19.98,N,1016.58
28,-85.59519,30.13521,E9485,2018-10-10T20:31:00-0500,39.99,8.69,0,19.98,N,1016.92
28,-85.59519,30.13521,E9485,2018-10-10T20:45:00-0500,39.99,5.21,0,12.17,N,1017.26
28,-85.59519,30.13521,E9485,2018-10-10T21:00:00-0500,39.99,8.69,0,15.65,N,1017.6
28,-85.59519,30.13521,E9485,2018-10-10T21:16:00-0500,39,9.56,0,16.5,N,1017.6
28,-85.59519,30.13521,E9485,2018-10-10T21:32:00-0500,39,6.96,0,16.5,N,1017.93
28,-85.59519,30.13521,E9485,2018-10-10T21:46:00-0500,39,10.44,0,19.98,N,1017.93
28,-85.59519,30.13521,E9485,2018-10-10T22:01:00-0500,39.99,6.96,0,15.65,N,1018.61
28,-85.59519,30.13521,E9485,2018-10-10T22:15:00-0500,39,8.69,0,20.86,N,1018.61
28,-85.59519,30.13521,E9485,2018-10-10T22:31:00-0500,39,9.56,0,23.46,N,1018.95
28,-85.59519,30.13521,E9485,2018-10-10T22:46:00-0500,39,6.96,0,18.25,N,1018.95
28,-85.59519,30.13521,E9485,2018-10-10T23:01:00-0500,39,6.96,0,14.77,N,1019.29
28,-85.59519,30.13521,E9485,2018-10-10T23:17:00-0500,39,6.08,0,18.25,N,1019.63
28,-85.59519,30.13521,E9485,2018-10-10T23:32:00-0500,39,4.33,0,13.02,N,1019.63
28,-85.59519,30.13521,E9485,2018-10-10T23:45:00-0500,39,7.81,0,14.77,N,1019.96
28,-85.59519,30.13521,E9485,2018-10-11T00:00:00-0500,39,6.96,0,15.65,N,1019.96
28,-85.59519,30.13521,E9485,2018-10-11T00:15:00-0500,39,10.44,311,20.86,NW,1019.96
28,-85.59519,30.13521,E9485,2018-10-11T00:30:00-0500,39,6.96,0,18.25,N,1019.96
28,-85.59519,30.13521,E9485,2018-10-11T00:45:00-0500,37.99,8.69,0,18.25,N,1020.3
28,-85.59519,30.13521,E9485,2018-10-11T01:00:00-0500,37.99,8.69,0,15.65,N,1020.64
28,-85.59519,30.13521,E9485,2018-10-11T01:15:00-0500,37.99,6.96,0,13.02,N,1020.64
28,-85.59519,30.13521,E9485,2018-10-11T01:30:00-0500,37.99,5.21,0,13.02,N,1020.64
28,-85.59519,30.13521,E9485,2018-10-11T02:00:00-0500,37.99,8.69,0,16.5,N,1020.64
28,-85.59519,30.13521,E9485,2018-10-11T02:15:00-0500,37.99,8.69,14,14.77,NNE,1020.98
28,-85.59519,30.13521,E9485,2018-10-11T02:30:00-0500,37.99,6.96,0,13.02,N,1021.32
28,-85.59519,30.13521,E9485,2018-10-11T02:45:00-0500,37.99,8.69,0,13.9,N,1021.65
28,-85.59519,30.13521,E9485,2018-10-11T03:00:00-0500,37.99,6.08,0,15.65,N,1021.65
28,-85.59519,30.13521,E9485,2018-10-11T03:15:00-0500,37.99,4.33,0,13.9,N,1021.65
28,-85.59519,30.13521,E9485,2018-10-11T03:30:00-0500,37.99,7.81,0,14.77,N,1021.32
28,-85.59519,30.13521,E9485,2018-10-11T03:46:00-0500,37.99,6.96,0,19.13,N,1021.99
28,-85.59519,30.13521,E9485,2018-10-11T04:00:00-0500,37.99,6.08,0,14.77,N,1021.99
28,-85.59519,30.13521,E9485,2018-10-11T04:16:00-0500,37,6.96,0,14.77,N,1021.99
28,-85.59519,30.13521,E9485,2018-10-11T04:30:00-0500,37,11.29,0,16.5,N,1022.33
28,-85.59519,30.13521,E9485,2018-10-11T04:46:00-0500,37,8.69,0,18.25,N,1021.99
28,-85.59519,30.13521,E9485,2018-10-11T05:01:00-0500,37,7.81,0,13.9,N,1022.33
28,-85.59519,30.13521,E9485,2018-10-11T05:16:00-0500,37,6.08,0,12.17,N,1022.33
28,-85.59519,30.13521,E9485,2018-10-11T05:31:00-0500,37,6.96,0,13.02,N,1022.67
28,-85.59519,30.13521,E9485,2018-10-11T05:46:00-0500,37,8.69,0,15.65,N,1022.67
28,-85.59519,30.13521,E9485,2018-10-11T06:01:00-0500,37,6.96,0,17.38,N,1023.01
28,-85.59519,30.13521,E9485,2018-10-11T06:16:00-0500,37,3.48,0,13.9,N,1023.01
28,-85.59519,30.13521,E9485,2018-10-11T06:31:00-0500,37,3.48,0,10.44,N,1023.01
28,-85.59519,30.13521,E9485,2018-10-11T06:46:00-0500,37,6.96,0,11.29,N,1023.01
