Elevation (ft),Longitude,Latitude,Station ID,Date & Time,Air Temperture (°F),Wind Speed (knots),Wind Direction (degrees),Wind Gust (knots),Wind Cardinal Direction (code),Pressure (mb)
7,-85.5637,30.06444,KPAM,2018-10-10T07:41:00-0500,75.2,15.01,70,25,ENE,997.38
7,-85.5637,30.06444,KPAM,2018-10-10T07:56:00-0500,75.56,17.01,90,25,E,996.36
7,-85.5637,30.06444,KPAM,2018-10-10T08:01:00-0500,75.2,16,90,27,E,996.36
7,-85.5637,30.06444,KPAM,2018-10-10T08:06:00-0500,77,16,80,27,E,996.02
7,-85.5637,30.06444,KPAM,2018-10-10T08:16:00-0500,77,16,90,27.99,E,995.69
7,-85.5637,30.06444,KPAM,2018-10-10T08:21:00-0500,77,16,90,29,E,995.69
7,-85.5637,30.06444,KPAM,2018-10-10T08:26:00-0500,77,20.99,90,29.99,E,995.35
7,-85.5637,30.06444,KPAM,2018-10-10T08:31:00-0500,77,17.01,90,29.99,E,995.01
7,-85.5637,30.06444,KPAM,2018-10-10T08:36:00-0500,77,18,80,34,E,994.67
7,-85.5637,30.06444,KPAM,2018-10-10T08:41:00-0500,77,18,80,34,E,995.01
7,-85.5637,30.06444,KPAM,2018-10-10T08:46:00-0500,77,18,90,29,E,994.67
7,-85.5637,30.06444,KPAM,2018-10-10T08:51:00-0500,77,18,70,29,ENE,994.33
7,-85.5637,30.06444,KPAM,2018-10-10T08:56:00-0500,76.64,18,90,29,E,993.99
7,-85.5637,30.06444,KPAM,2018-10-10T09:01:00-0500,77,18.99,80,29,E,993.65
7,-85.5637,30.06444,KPAM,2018-10-10T09:06:00-0500,77,20,90,35.01,E,992.98
7,-85.5637,30.06444,KPAM,2018-10-10T09:11:00-0500,77,16,90,35.01,E,992.3
7,-85.5637,30.06444,KPAM,2018-10-10T09:16:00-0500,77,18.99,100,34,E,992.64
7,-85.5637,30.06444,KPAM,2018-10-10T09:26:00-0500,77,17.01,100,29.99,E,992.3
7,-85.5637,30.06444,KPAM,2018-10-10T09:31:00-0500,77,18,90,33.01,E,991.62
7,-85.5637,30.06444,KPAM,2018-10-10T09:36:00-0500,77,22,90,33.01,E,991.28
7,-85.5637,30.06444,KPAM,2018-10-10T09:46:00-0500,77,20,80,41,E,990.27
7,-85.5637,30.06444,KPAM,2018-10-10T09:56:00-0500,77.18,23,90,38,E,989.25
7,-85.5637,30.06444,KPAM,2018-10-10T10:01:00-0500,77,23,90,38.99,E,988.91
7,-85.5637,30.06444,KPAM,2018-10-10T10:06:00-0500,77,24.01,90,44.01,E,988.58
7,-85.5637,30.06444,KPAM,2018-10-10T10:11:00-0500,77,25,90,44.01,E,987.56
7,-85.5637,30.06444,KPAM,2018-10-10T10:16:00-0500,77,23,90,40,E,986.88
7,-85.5637,30.06444,KPAM,2018-10-10T10:21:00-0500,77,24.01,80,42.01,E,986.54
7,-85.5637,30.06444,KPAM,2018-10-10T10:26:00-0500,77,27,90,42.01,E,986.21
7,-85.5637,30.06444,KPAM,2018-10-10T10:27:00-0500,77,29,90,42.01,E,985.87
7,-85.5637,30.06444,KPAM,2018-10-10T10:32:00-0500,77,29.99,80,45.99,E,984.85
7,-85.5637,30.06444,KPAM,2018-10-10T10:45:00-0500,,27.99,80,44.01,E,983.16
7,-85.5637,30.06444,KPAM,2018-10-10T10:46:00-0500,,27,80,41,E,983.16
7,-85.5637,30.06444,KPAM,2018-10-10T10:51:00-0500,77,29,80,45,E,981.47
7,-85.5637,30.06444,KPAM,2018-10-10T10:52:00-0500,77,29.99,80,45,E,981.47
