Elevation (ft),Longitude,Latitude,Station ID,Date & Time,Air Temperture (°F),Wind Speed (knots),Wind Direction (degrees),Wind Gust (knots),Wind Cardinal Direction (code),Pressure (mb)
0,-85.878,30.213,PCBF1,2018-10-10T07:00:00-0500,76.03,14.75,99,27.8,E,999.66
0,-85.878,30.213,PCBF1,2018-10-10T07:06:00-0500,76.03,10.42,103,22.59,ESE,999.66
0,-85.878,30.213,PCBF1,2018-10-10T07:12:00-0500,76.03,11.29,88,19.96,E,999.66
0,-85.878,30.213,PCBF1,2018-10-10T07:24:00-0500,77.02,10.42,108,18.23,ESE,998.99
0,-85.878,30.213,PCBF1,2018-10-10T07:30:00-0500,77.02,11.29,76,22.59,ENE,998.65
0,-85.878,30.213,PCBF1,2018-10-10T07:36:00-0500,77.02,10.42,87,19.96,E,998.65
0,-85.878,30.213,PCBF1,2018-10-10T07:42:00-0500,77.02,9.54,80,17.38,E,998.31
0,-85.878,30.213,PCBF1,2018-10-10T07:48:00-0500,77.02,11.29,64,19.96,ENE,998.31
0,-85.878,30.213,PCBF1,2018-10-10T07:54:00-0500,77.02,18.23,59,25.17,ENE,997.97
0,-85.878,30.213,PCBF1,2018-10-10T08:00:00-0500,77.02,19.11,54,29.53,NE,997.97
0,-85.878,30.213,PCBF1,2018-10-10T08:06:00-0500,77.02,17.38,50,29.53,NE,997.29
0,-85.878,30.213,PCBF1,2018-10-10T08:12:00-0500,77.02,15.63,68,28.65,ENE,997.29
0,-85.878,30.213,PCBF1,2018-10-10T08:18:00-0500,77.02,12.17,84,30.38,E,996.95
0,-85.878,30.213,PCBF1,2018-10-10T08:24:00-0500,77.02,13.9,67,29.53,ENE,996.61
0,-85.878,30.213,PCBF1,2018-10-10T08:30:00-0500,77.02,12.17,60,25.17,ENE,996.61
0,-85.878,30.213,PCBF1,2018-10-10T08:36:00-0500,77.02,15.63,56,25.17,NE,996.28
0,-85.878,30.213,PCBF1,2018-10-10T08:48:00-0500,76.03,22.59,56,34.74,NE,995.94
0,-85.878,30.213,PCBF1,2018-10-10T08:54:00-0500,76.03,19.11,56,30.38,NE,995.26
0,-85.878,30.213,PCBF1,2018-10-10T09:00:00-0500,77.02,23.44,47,33.01,NE,994.92
0,-85.878,30.213,PCBF1,2018-10-10T09:06:00-0500,77.02,22.59,49,27.8,NE,994.92
0,-85.878,30.213,PCBF1,2018-10-10T09:12:00-0500,77.02,19.96,42,27.8,NE,994.24
0,-85.878,30.213,PCBF1,2018-10-10T09:18:00-0500,77.02,21.71,32,28.65,NNE,993.91
0,-85.878,30.213,PCBF1,2018-10-10T09:24:00-0500,77.02,17.38,38,31.26,NE,993.57
0,-85.878,30.213,PCBF1,2018-10-10T09:36:00-0500,76.03,17.38,38,27.8,NE,992.55
0,-85.878,30.213,PCBF1,2018-10-10T09:42:00-0500,77.02,19.11,59,31.26,ENE,992.55
0,-85.878,30.213,PCBF1,2018-10-10T09:48:00-0500,77.02,14.75,90,28.65,E,992.55
0,-85.878,30.213,PCBF1,2018-10-10T09:54:00-0500,77.02,23.44,55,36.47,NE,991.87
0,-85.878,30.213,PCBF1,2018-10-10T10:00:00-0500,77.02,19.96,44,31.26,NE,991.53
0,-85.878,30.213,PCBF1,2018-10-10T10:06:00-0500,77.02,17.38,45,34.74,NE,990.86
0,-85.878,30.213,PCBF1,2018-10-10T10:24:00-0500,77.02,21.71,44,33.01,NE,989.5
0,-85.878,30.213,PCBF1,2018-10-10T10:36:00-0500,78.03,25.17,39,41.68,NE,988.49
0,-85.878,30.213,PCBF1,2018-10-10T10:42:00-0500,78.03,24.32,37,36.47,NE,988.15
0,-85.878,30.213,PCBF1,2018-10-10T10:48:00-0500,77.02,26.92,40,42.55,NE,987.47
0,-85.878,30.213,PCBF1,2018-10-10T11:00:00-0500,78.03,24.32,30,40.8,NNE,985.78
0,-85.878,30.213,PCBF1,2018-10-10T11:06:00-0500,78.03,26.92,33,41.68,NNE,984.76
0,-85.878,30.213,PCBF1,2018-10-10T11:12:00-0500,77.02,27.8,24,39.95,NNE,984.08
0,-85.878,30.213,PCBF1,2018-10-10T11:18:00-0500,77.02,31.26,27,49.49,NNE,983.07
0,-85.878,30.213,PCBF1,2018-10-10T11:24:00-0500,77.02,30.38,26,46.89,NNE,982.05
0,-85.878,30.213,PCBF1,2018-10-10T11:30:00-0500,77.02,37.34,18,55.57,NNE,981.04
0,-85.878,30.213,PCBF1,2018-10-10T11:36:00-0500,77.02,33.86,24,53.84,NNE,980.02
0,-85.878,30.213,PCBF1,2018-10-10T11:42:00-0500,77.02,40.8,11,56.45,N,978.67
0,-85.878,30.213,PCBF1,2018-10-10T11:48:00-0500,76.03,42.55,4,60.78,N,977.99
